!Areas:
Windows: [
	!( Nodes )
	( 52 ) 53
	!Lock all centres from previous steps (floor 4)
	( 9 ) 81
	( 19 ) 73
	( 20 ) 79
	( 21 ) 84
	( 22 ) 78
	( 26 ) 83
	( 47 ) 75
	( 49 ) 72
	( 53 ) 77
	( 54 ) 75
]


LockedFunctions: [
	!( Functions Nodes )
	( 1 8  ) 1 !The emergency department locked to the emercency entrance
	!Reception and pasient information locked to the public entrance
	( 6 26 ) 1
	( 6 9  ) 1
	!---------------------------------------------------
	!Lock all functions from previous steps (floor 1)
	( 1 8 ) 1
	( 1 19 ) 1
	( 1 20 ) 1
	( 2 21 ) 1
	( 2 22 ) 1
	( 2 23 ) 1
	( 3 10 ) 1
	( 3 11 ) 1
	( 4 4 ) 1
	( 4 5 ) 1
	( 4 6 ) 1
	( 5 21 ) 1
	( 5 26 ) 1
	( 6 9 ) 1
	( 8 9 ) 1
	( 8 10 ) 1
	( 8 12 ) 1
	( 11 2 ) 1
	( 11 13 ) 1
	( 11 14 ) 1
	( 12 3 ) 1
	( 12 6 ) 1
	( 12 15 ) 1
	( 13 13 ) 1
	( 13 16 ) 1
	( 13 18 ) 1
	( 14 15 ) 1
	( 15 22 ) 1
	( 15 24 ) 1
	( 16 25 ) 1
	( 25 2 ) 1
	( 31 16 ) 1
	( 31 17 ) 1
	( 44 7 ) 1
	( 45 1 ) 1
	!Lock all functions from previous steps (floor 2)
	( 7 38 ) 1
	( 10 45 ) 1
	( 10 48 ) 1
	( 10 50 ) 1
	( 17 51 ) 1
	( 18 29 ) 1
	( 18 30 ) 1
	( 18 32 ) 1
	( 24 34 ) 1
	( 28 29 ) 1
	( 28 33 ) 1
	( 29 42 ) 1
	( 29 43 ) 1
	( 30 28 ) 1
	( 30 30 ) 1
	( 30 31 ) 1
	( 32 28 ) 1
	( 32 39 ) 1
	( 32 40 ) 1
	( 33 41 ) 1
	( 35 34 ) 1
	( 35 36 ) 1
	( 35 37 ) 1
	( 36 47 ) 1
	( 36 48 ) 1
	( 36 49 ) 1
	( 39 35 ) 1
	( 41 35 ) 1
	( 55 45 ) 1
	( 55 46 ) 1
	( 56 39 ) 1
	( 56 42 ) 1
	( 56 44 ) 1
	( 57 41 ) 1
	!Lock all functions from previous steps (floor 3)
	( 23 68 ) 1
	( 23 69 ) 1
	( 27 55 ) 1
	( 27 56 ) 1
	( 34 68 ) 1
	( 34 70 ) 1
	( 37 67 ) 1
	( 38 58 ) 1
	( 40 62 ) 1
	( 40 63 ) 1
	( 42 61 ) 1
	( 42 64 ) 1
	( 42 67 ) 1
	( 43 58 ) 1
	( 46 52 ) 1
	( 46 54 ) 1
	( 46 57 ) 1
	( 50 59 ) 1
	( 50 60 ) 1
	( 50 65 ) 1
	( 51 65 ) 1
	( 51 66 ) 1
	( 52 52 ) 1
	( 52 53 ) 1
	( 52 60 ) 1
	!Lock all functions from previous steps (floor 4)
	( 9 81 ) 1
	( 19 73 ) 1
	( 19 74 ) 1
	( 20 79 ) 1
	( 20 80 ) 1
	( 21 81 ) 1
	( 21 82 ) 1
	( 21 84 ) 1
	( 22 76 ) 1
	( 22 78 ) 1
	( 26 82 ) 1
	( 26 83 ) 1
	( 47 75 ) 1
	( 49 71 ) 1
	( 49 72 ) 1
	( 49 80 ) 1
	( 53 74 ) 1
	( 53 76 ) 1
	( 53 77 ) 1
	( 54 75 ) 1
]

LockedMinimumFraction: [
	!( Functions Nodes ) Fraction
]

LockFloor : []
LockNotFloor : []
LockSameFloor : []
