!Areas:
Windows: [
	!( Nodes )
	!Locked to floor 4
	( 19 ) 83
	( 20 ) 75
	( 21 ) 81
	( 26 ) 77
	( 48 ) 71
	( 50 ) 79
	
	!Locked to floor 5
	( 22 ) 88
	( 49 ) 87
]


LockedFunctions: [
	!( Functions Nodes )
	!Floor 1
	!The emergency department locked to the emercency entrance
	( 1 8  ) 1
	!Reception and pasient information + LMS + Ministry locked to the public entrance
	( 6 26 ) 1
	( 7 26 ) 1
	( 9 26 ) 1
	
	!Floor 2
	( 11 39 ) 1
	( 11 40 ) 1
	( 11 42 ) 1
	( 17 51 ) 1
	( 18 33 ) 1
	( 18 34 ) 1
	( 24 27 ) 1
	( 24 32 ) 1
	( 25 33 ) 1
	( 25 38 ) 1
	( 28 35 ) 1
	( 28 41 ) 1
	( 28 47 ) 1
	( 29 36 ) 1
	( 29 37 ) 1
	( 30 45 ) 1
	( 30 48 ) 1
	( 30 50 ) 1
	( 32 45 ) 1
	( 32 46 ) 1
	( 32 49 ) 1
	( 33 49 ) 1
	( 35 30 ) 1
	( 35 31 ) 1
	( 36 27 ) 1
	( 36 28 ) 1
	( 37 29 ) 1
	( 38 41 ) 1
	( 41 42 ) 1
	( 41 43 ) 1
	( 43 29 ) 1
	( 55 39 ) 1
	( 55 44 ) 1
	!Floor 3
	( 23 62 ) 1
	( 23 63 ) 1
	( 27 54 ) 1
	( 34 68 ) 1
	( 34 69 ) 1
	( 39 56 ) 1
	( 40 61 ) 1
	( 42 59 ) 1
	( 42 60 ) 1
	( 42 62 ) 1
	( 46 52 ) 1
	( 46 54 ) 1
	( 46 57 ) 1
	( 47 55 ) 1
	( 47 56 ) 1
	( 51 52 ) 1
	( 51 53 ) 1
	( 52 65 ) 1
	( 52 66 ) 1
	( 53 58 ) 1
	( 53 67 ) 1
	( 54 67 ) 1
	( 56 65 ) 1
	( 56 68 ) 1
	( 56 70 ) 1
	( 57 61 ) 1
	( 57 64 ) 1
	!Floor 4
	( 19 80 ) 1
	( 19 82 ) 1
	( 19 83 ) 1
	( 20 75 ) 1
	( 20 78 ) 1
	( 21 81 ) 1
	( 21 84 ) 1
	( 26 76 ) 1
	( 26 77 ) 1
	( 48 71 ) 1
	( 48 72 ) 1
	( 48 74 ) 1
	( 50 73 ) 1
	( 50 79 ) 1
	( 50 80 ) 1
	!Floor 5
	( 22 88 ) 1
	( 49 85 ) 1
	( 49 86 ) 1
	( 49 87 ) 1
	( 49 88 ) 1
	
]

LockedMinimumFraction: [
	!( Functions Nodes ) Fraction
]

LockFloor : [
	!( Floor Functions ) 1
	( 1 1 ) 1
	( 1 2 ) 1
	( 1 3 ) 1
	( 1 4 ) 1
	( 1 5 ) 1
	( 1 6 ) 1
	( 1 7 ) 1
	( 1 8 ) 1
	( 1 9 ) 1
	( 1 10 ) 1
	( 1 12 ) 1
	( 1 13 ) 1
	( 1 14 ) 1
	( 1 15 ) 1
	( 1 16 ) 1
	( 1 31 ) 1
	( 1 44 ) 1
	( 1 45 ) 1
	
	( 2 11 ) 1
	( 2 17 ) 1
	( 2 18 ) 1
	( 2 24 ) 1
	( 2 25 ) 1
	( 2 28 ) 1
	( 2 29 ) 1
	( 2 30 ) 1
	( 2 32 ) 1
	( 2 33 ) 1
	( 2 35 ) 1
	( 2 36 ) 1
	( 2 37 ) 1
	( 2 38 ) 1
	( 2 41 ) 1
	( 2 43 ) 1
	( 2 55 ) 1
	
	( 3 23 ) 1
	( 3 27 ) 1
	( 3 34 ) 1
	( 3 39 ) 1
	( 3 40 ) 1
	( 3 42 ) 1
	( 3 46 ) 1
	( 3 47 ) 1
	( 3 51 ) 1
	( 3 52 ) 1
	( 3 53 ) 1
	( 3 54 ) 1
	( 3 56 ) 1
	( 3 57 ) 1
	
	( 4 19 ) 1
	( 4 20 ) 1
	( 4 21 ) 1
	( 4 26 ) 1
	( 4 48 ) 1
	( 4 50 ) 1
	
	( 5 22 ) 1
	( 5 49 ) 1
]

LockNotFloor : []
LockSameFloor : []
