!Areas:
Windows: [
	!( Nodes )
	( 38 ) 90
	( 41 ) 90
	( 43 ) 90
	( 55 ) 90
	!Lock all functions in floor 3 to floor 3 (node 91)
	( 23 ) 91
	( 27 ) 91
	( 34 ) 91
	( 39 ) 91
	( 40 ) 91
	( 42 ) 91
	( 46 ) 91
	( 47 ) 91
	( 51 ) 91
	( 52 ) 91
	( 53 ) 91
	( 54 ) 91
	( 56 ) 91
	( 57 ) 91
	!Lock all functions in floor 4 to floor 4 (node 92)
	( 19 ) 92
	( 20 ) 92
	( 21 ) 92
	( 26 ) 92
	( 48 ) 92
	( 50 ) 92
]


LockedFunctions: [
	!( Functions Nodes )
	!Floor 1
	
	!Floor 2
	
	!Floor 3
	
	!Floor 4
	
]

LockedMinimumFraction: [
	!( Functions Nodes ) Fraction
]

LockFloor : [
	!( Floor Functions ) 1
	( 1 1 ) 1
	( 1 2 ) 1
	( 1 3 ) 1
	( 1 4 ) 1
	( 1 5 ) 1
	( 1 6 ) 1
	( 1 7 ) 1
	( 1 8 ) 1
	( 1 9 ) 1
	( 1 10 ) 1
	( 1 12 ) 1
	( 1 13 ) 1
	( 1 14 ) 1
	( 1 15 ) 1
	( 1 16 ) 1
	( 1 31 ) 1
	( 1 44 ) 1
	( 1 45 ) 1
	
	( 2 11 ) 1
	( 2 17 ) 1
	( 2 18 ) 1
	( 2 24 ) 1
	( 2 25 ) 1
	( 2 28 ) 1
	( 2 29 ) 1
	( 2 30 ) 1
	( 2 32 ) 1
	( 2 33 ) 1
	( 2 35 ) 1
	( 2 36 ) 1
	( 2 37 ) 1
	( 2 38 ) 1
	( 2 41 ) 1
	( 2 43 ) 1
	( 2 55 ) 1
	
	( 3 23 ) 1
	( 3 27 ) 1
	( 3 34 ) 1
	( 3 39 ) 1
	( 3 40 ) 1
	( 3 42 ) 1
	( 3 46 ) 1
	( 3 47 ) 1
	( 3 51 ) 1
	( 3 52 ) 1
	( 3 53 ) 1
	( 3 54 ) 1
	( 3 56 ) 1
	( 3 57 ) 1
	
	( 4 19 ) 1
	( 4 20 ) 1
	( 4 21 ) 1
	( 4 26 ) 1
	( 4 48 ) 1
	( 4 50 ) 1
	
	( 5 22 ) 1
	( 5 49 ) 1
]

LockNotFloor : []
LockSameFloor : []
