!Areas:
Windows: [
	!( Nodes )
	( 53 ) 64
	( 54 ) 70
	( 56 ) 57
	( 57 ) 52
	!---------------------------------------------------
	!Lock all functions in floor 5 to floor 5 (node 85)
	( 48 ) 85 	
]


LockedFunctions: [
	!( Functions Nodes )
	( 1 8  ) 1 !The emergency department locked to the emercency entrance
	!Reception and pasient information locked to the public entrance
	( 6 26 ) 1
	( 6 9  ) 1
	!---------------------------------------------------
	!Lock all functions from previous steps (floor 1)
	( 1 8 ) 1
	( 1 19 ) 1
	( 1 20 ) 1
	( 2 9 ) 1
	( 2 10 ) 1
	( 2 11 ) 1
	( 3 21 ) 1
	( 3 23 ) 1
	( 6 9 ) 1
	( 7 12 ) 1
	( 12 2 ) 1
	( 12 13 ) 1
	( 12 14 ) 1
	( 13 1 ) 1
	( 13 6 ) 1
	( 14 3 ) 1
	( 15 13 ) 1
	( 15 16 ) 1
	( 15 18 ) 1
	( 16 25 ) 1
	( 18 4 ) 1
	( 18 5 ) 1
	( 24 22 ) 1
	( 24 24 ) 1
	( 28 3 ) 1
	( 28 21 ) 1
	( 28 26 ) 1
	( 29 16 ) 1
	( 29 17 ) 1
	( 30 15 ) 1
	( 44 7 ) 1
	( 45 1 ) 1
	!Lock all functions from previous steps (floor 2)
	( 4 28 ) 1
	( 4 30 ) 1
	( 4 31 ) 1
	( 5 29 ) 1
	( 5 41 ) 1
	( 5 47 ) 1
	( 8 39 ) 1
	( 8 42 ) 1
	( 8 44 ) 1
	( 10 30 ) 1
	( 10 32 ) 1
	( 11 45 ) 1
	( 11 48 ) 1
	( 11 50 ) 1
	( 17 51 ) 1
	( 23 47 ) 1
	( 31 42 ) 1
	( 31 43 ) 1
	( 32 28 ) 1
	( 32 39 ) 1
	( 32 40 ) 1
	( 33 29 ) 1
	( 34 46 ) 1
	( 35 48 ) 1
	( 35 49 ) 1
	( 37 35 ) 1
	( 38 35 ) 1
	( 41 36 ) 1
	( 41 37 ) 1
	( 42 33 ) 1
	( 42 34 ) 1
	( 42 46 ) 1
	( 55 33 ) 1
	( 55 36 ) 1
	( 55 38 ) 1
	!Lock all functions from previous steps (floor 3)
	( 9 63 ) 1
	( 25 55 ) 1
	( 25 56 ) 1
	( 27 60 ) 1
	( 27 63 ) 1
	( 36 66 ) 1
	( 36 68 ) 1
	( 36 69 ) 1
	( 39 67 ) 1
	( 40 58 ) 1
	( 43 67 ) 1
	( 46 54 ) 1
	( 46 58 ) 1
	( 46 61 ) 1
	( 47 61 ) 1
	( 51 53 ) 1
	( 51 60 ) 1
	( 52 59 ) 1
	( 52 65 ) 1
	( 52 66 ) 1
	( 53 59 ) 1
	( 53 62 ) 1
	( 53 64 ) 1
	( 54 68 ) 1
	( 54 70 ) 1
	( 56 52 ) 1
	( 56 55 ) 1
	( 56 57 ) 1
	( 57 52 ) 1
]

LockedMinimumFraction: [
	!( Functions Nodes ) Fraction
]

LockFloor : [
	( 1 1 ) 1
	( 1 2 ) 1
	( 1 3 ) 1
	( 1 6 ) 1
	( 1 7 ) 1
	( 1 12 ) 1
	( 1 13 ) 1
	( 1 14 ) 1
	( 1 15 ) 1
	( 1 16 ) 1
	( 1 18 ) 1
	( 1 24 ) 1
	( 1 28 ) 1
	( 1 29 ) 1
	( 1 30 ) 1
	( 1 44 ) 1
	( 1 45 ) 1
	
	( 2 4 ) 1
	( 2 5 ) 1
	( 2 8 ) 1
	( 2 10 ) 1
	( 2 11 ) 1
	( 2 17 ) 1
	( 2 23 ) 1
	( 2 31 ) 1
	( 2 32 ) 1
	( 2 33 ) 1
	( 2 34 ) 1
	( 2 35 ) 1
	( 2 37 ) 1
	( 2 38 ) 1
	( 2 41 ) 1
	( 2 42 ) 1
	( 2 55 ) 1
	
	( 3 9 ) 1
	( 3 25 ) 1
	( 3 27 ) 1
	( 3 36 ) 1
	( 3 39 ) 1
	( 3 40 ) 1
	( 3 43 ) 1
	( 3 46 ) 1
	( 3 47 ) 1
	( 3 51 ) 1
	( 3 52 ) 1
	( 3 53 ) 1
	( 3 54 ) 1
	( 3 56 ) 1
	( 3 57 ) 1
	
	( 4 19 ) 1
	( 4 20 ) 1
	( 4 21 ) 1
	( 4 22 ) 1
	( 4 26 ) 1
	( 4 49 ) 1
	( 4 50 ) 1
	
	( 5 48 ) 1	
]

LockNotFloor : []
LockSameFloor : []
